"Status";"Bestellnummer";"Name";"Notiz";"Produzent";"Herkunft";"Einheit";"Nettopreis";"MwSt";"Pfand";"Gebindegroeße";"geschu1";"geschu2";"Kategorie"
;41072;"Karotten ungewaschen 41072";;"Ruprecht";"Waldviertel";"500 g";0,85;10;;10;;;"Wurzelgemüse"
;10260;"Rettich schwarz 10260";;"Wansch";"Waldviertel";"1 kg";1,95;10;;1;;;"Wurzelgemüse"
;430574;"Rote Rüben Raritäten Chioggia 430574";;"Achleitner";"Österreich";"500 g";0,95;10;;10;;;"Wurzelgemüse"
;430174;"Suppengemüse 430174";;"Achleitner";"Österreich";"1 Tasse";1,85;10;;10;;;"Wurzelgemüse"
;444314;"Gelbe Rüben 444314";;"Biohandel";"Österreich";"1 kg";1,8;10;;1,5;;;"Wurzelgemüse"
;444334;"Haferwurzel 444334";;"Biohandel";"Österreich";"1 kg";4,55;10;;1,5;;;"Wurzelgemüse"
;444324;"Karotten violett Purple Haze 444324";;"Biohandel";"Österreich";"500 g";0,9;10;;3;;;"Wurzelgemüse"
;444234;"Pastinaken 444234";;"Biohandel";"Österreich";"500 g";1,25;10;;3;;;"Wurzelgemüse"
;444087;"Schwarzwurzel 444087";;"Biohandel";"Österreich";"500 g";1,7;10;;6;;;"Wurzelgemüse"
;444152;"Topinampur 444152";;"Biohandel";"Österreich";"500 g";1,6;10;;3;;;"Wurzelgemüse"
;301202;"Karotten 301202";;"Lutz";"Österreich";"500 g";0,85;10;;10;;;"Wurzelgemüse"
;301243;"Kren 301243";;"Lutz";"Österreich";"250 g";2,25;10;;8;;;"Wurzelgemüse"
;301322;"Peterwurzeln 301322";;"Lutz";"Österreich";"500 g";1,8;10;;10;;;"Wurzelgemüse"
;301297;"Topinambur 301297";;"Lutz";"Österreich";"500 g";1,65;10;;4;;;"Wurzelgemüse"
;15003;"Sauerkraut im Kübel, 15003";;"Vorlaufer";"Waldviertel";"1 Kü";9,3;10;;1;;;"Gemüse"
;220102;"Sauerkraut Glas 220102";;"Pepi`s";"Österreich";"1 Gl.";1,8;10;;1;;;"Gemüse"
;220104;"Sauerkraut Kübel 220104";;"Pepi`s";"Österreich";"1 Kü";18,2;10;;1;;;"Gemüse"
;220103;"Sauerkraut Kübel 220103";;"Pepi`s";"Österreich";"1 Kü";9,8;10;;1;;;"Gemüse"
;426857;"Agria mk 426857";;"Fuchsloch";"Österreich";"1 Sk.";2,05;10;;10;;;"Erdäpfel"
;426862;"Agria mk 426862";;"Fuchsloch";"Österreich";"1 Sk.";6,65;10;;2;;;"Erdäpfel"
;426830;"Ditta fk 426830";;"Fuchsloch";"Waldviertel";"1 Sk.";6,65;10;;2;;;"Erdäpfel"
;426870;"Hermes mk 426870";;"Fuchsloch";"Österreich";"1 Sk.";6,65;10;;2;;;"Erdäpfel"
;426864;"Hermes mk 426864";;"Fuchsloch";"Österreich";"1 kg";1,35;10;;6;;;"Erdäpfel"
;426858;"Heurige Agria mk 426858";;"Fuchsloch";"Österreich";"1 Sk.";2,25;10;;5;;;"Erdäpfel"
;10240;"Agria groÿ mk 10240";;"Kargl";"Waldviertel";"1 kg";0,8;10;;5;;;"Erdäpfel"
;10224;"Ditta fk 10224";;"Kargl";"Waldviertel";"1 kg";0,95;10;;5;;;"Erdäpfel"
;10146;"Ditta groÿ fk 10146";;"Kargl";"Waldviertel";"1 kg";0,8;10;;5;;;"Erdäpfel"
;41027;"Agria groÿ mk 41027";;"Ruprecht";"Waldviertel";"1 kg";0,8;10;;10;;;"Erdäpfel"
;41007;"Agria klein mk 41007";;"Ruprecht";"Waldviertel";"1 kg";0,8;10;;10;;;"Erdäpfel"
